Letter,Tot. SSE,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,"['A', 'H']","['B', 'K', 'P', 'R']","['C', 'D', 'G', 'O', 'Q']","['E', 'F', 'L']","['I', 'J', 'T']","['M', 'N']","['U', 'V', 'Y']","['W', 'X']","['S', 'Z']"
'A',0.00033949325027592928,0.97803032671147405,0.99999937971371589,0.99999999720741162,1.4071717034626099e-12,0.00038085226733192379,0.99994419121584155,0.99999999999634492,0.99999999999999978,0.99999692039419519,0.99999973943089149,0.98878217414958636,1.9397489525682035e-05,0.00019732943152568749,2.0915936947111657e-06,2.1301439154418171e-11,8.5959325187020067e-08,0.0084274567784119285,0.00033045119991412372,2.1785628092127589e-06,0.0018558943061607962,0.0010229058218418788,9.1384491210607824e-09,2.0819016479259628e-07,1.2542884223958666e-08,0.001560922527355099,4.6412957795890631e-06,0.0002016324773507703,1.3868057043614178e-05,1.3899707031738051e-05,0.00017587777810274308,0.0054351896969137489,0.0089443172434041946,0.004047985058545975,7.4060123726610282e-06,0.0030912120346303935,9.0175508678268439e-07
'A',0.0061611730025982747,0.9999915177801848,0.99999955904433213,0.99999633207358984,1.2213526119731012e-12,1.0,0.99999999997154232,0.99999999999998046,0.99999999999303979,0.99998318491427662,0.99999999999675615,0.9899945553426398,0.00043059785257312826,6.584756097362749e-05,8.4738566665043459e-06,2.6862725744859102e-09,2.5814590565688305e-05,0.00074726166773013631,0.077723218398831936,5.220500958631253e-08,9.7607092983940916e-05,2.3647129175035574e-06,3.3982536660487074e-10,8.7461890510792031e-06,3.0934767538664635e-10,0.00028273338972307203,0.00024777616835171902,4.275745993688802e-06,0.0019616357773003705,0.0038724188813727923,8.965255447652573e-06,0.00030122177735663751,3.1019360842368602e-05,0.00028418240557295533,1.2831721850538024e-07,0.00049937410741970195,8.3079897061658546e-09
'A',0.025923538971038513,0.99953683780657809,0.9999920476005657,0.99999671177612259,9.670914356412545e-10,1.0,4.9659026998906359e-05,1.0,1.0,0.99999661719319366,0.99999999985110355,0.97830785651978858,0.029430791323266328,0.0013329211933746218,0.00013320671757978628,2.7739890080481779e-07,0.00052016420246275483,0.024842215527826266,0.0059430219219462925,3.8774191386551386e-06,0.005619807716628393,9.9705071629845788e-07,1.2304787828878988e-08,4.3497871477994793e-08,4.4822002144581895e-12,0.0053745216611059375,0.0045080019359630416,4.2577237406076191e-05,5.6064914648401964e-05,0.15443607582831473,0.0010009558956142108,4.388473725962796e-06,1.3119734583716e-07,2.4972806722121888e-07,6.5977751022420942e-10,1.1069492684321849e-06,1.6416887377498787e-06
'B',0.0084400626302647153,0.99999961395446157,0.99999999987313748,0.99985138974651566,1.1203149673186943e-05,1.0,6.4634176691400108e-17,1.0,2.9660589066953545e-27,0.99999983521459368,1.5696218067348343e-11,0.00090471056325038142,0.93520275752146032,0.01048690000447206,0.02413446079625586,0.00037762771026476644,0.00030161345834834414,0.018657134987787854,0.0082043478711080284,1.2879136569056849e-06,0.0001576868696087637,0.00030196602014419846,3.1010892420933616e-05,5.0045271633152433e-06,3.462099611950025e-08,0.0096472682605782695,0.054620817013798152,0.0046958200991488895,0.0056283163875321274,0.0014538809369110982,1.7381883301873727e-06,2.1009499411774648e-07,7.2682634660450165e-09,0.00013306648971774326,8.2095983248224556e-10,4.4159725278242467e-11,4.3417326466220368e-06
'B',0.0084405783915873639,0.99999960854870928,0.99999999989767985,0.99996562679615053,4.3574520933137502e-07,1.0,2.2985557373824497e-17,1.0,1.3595418726220495e-25,0.99999998647237587,1.4643616124107897e-12,0.00090451812106366559,0.93519544681772149,0.010486056234024739,0.024129388765760238,0.00037752009385743913,0.00030152072114437691,0.01865543222911499,0.0082020983053005554,1.2875529329661526e-06,0.00015767482438078541,0.00030200920217114045,3.100897484786187e-05,5.0031006960456318e-06,3.461350809138304e-08,0.0096465193249101154,0.054620468802894673,0.0046955834611975208,0.0056272672803434846,0.0014532639783697075,1.7377563036845802e-06,2.100206640792763e-07,7.2669275864506094e-09,0.00013303287173359644,8.2070555524765384e-10,4.4137911439476818e-11,4.3409002999002899e-06
'B',0.0084406169790447461,0.99999954661372303,0.99999999905875758,0.99996192567764575,3.4195769948160383e-06,1.0,9.1055170905525336e-17,1.0,7.126610867151094e-23,0.99999963148524162,9.8334353598628401e-10,0.00090451065800869394,0.93519466386957928,0.010486124087571455,0.024129779657911844,0.0003775289483095983,0.00030152671018750916,0.018655538126475722,0.0082020826787914652,1.2875704247662597e-06,0.00015767533526351947,0.00030200183472775446,3.1009288390421794e-05,5.0032191452438677e-06,3.4614143749351318e-08,0.0096465686307986021,0.054619667238407103,0.0046955886366356796,0.0056272299001023166,0.0014533047456328154,1.7377708414990239e-06,2.1002617196096046e-07,7.2668949456029281e-09,0.00013303473886663313,8.2072468122854291e-10,4.413919719429366e-11,4.3409634254485609e-06
'C',0.97180996982612966,0.99973764492004213,0.99834463123007144,0.98704494580190461,0.99999999999965472,0.004400242627522576,1.3236369037530962e-23,1.0,1.5594580731548816e-17,0.99869693240864377,1.3940977299111677e-11,2.1209889751576549e-06,0.00090686581134952508,0.10429575746732432,0.15069942194452579,0.00051168478531889757,3.1810961282378176e-05,0.34730645804457061,3.572875068794742e-07,0.00024468108358426626,0.0034491283264286945,7.1348445139897296e-05,0.015040724805370359,1.966479844368117e-05,7.119373325996675e-05,0.094087038522711733,2.8078648292205822e-06,0.12986911001396428,2.576307331318074e-07,0.00074443598204895691,2.8234504516494599e-05,0.00059052961711807128,3.0570826546597647e-08,0.012064671997280646,4.6889139086124761e-06,2.2154555859388894e-08,0.0093646149245206894
'C',0.98575597156474581,0.99972600810199486,0.99927208382969213,0.87246677963900277,0.99999999999976952,0.00027601022241600508,2.0252960590498365e-25,1.0,5.3176127116936568e-19,0.99976569684527106,1.6046388567608975e-08,2.7882250199844277e-06,0.0010816633192133576,0.11100444264952536,0.17370397023985046,0.00062891756745960664,4.0591766208409753e-05,0.36810629309288784,4.8108176416028252e-07,0.00032299234674710984,0.003757985182791487,6.8732006348776897e-05,0.015681378996029855,2.424879119814376e-05,8.566526283398739e-05,0.10068879909654721,2.9638543723373057e-06,0.13787086886569846,3.2069101024041522e-07,0.001049154319067648,3.6639565787745098e-05,0.00080033640475253435,3.9228610062731189e-08,0.01526380977716763,6.1475840583032215e-06,3.464218397420009e-08,0.011158348203303137
'C',1.1371547389781957,0.99998523697621011,0.99999642903409969,0.99396234285898777,0.99999999999993716,0.99704591865391357,1.8561461238248659e-23,0.99999999999999889,7.0066476063836671e-35,0.99999132800828905,1.0485214695824383e-09,2.4132067835523652e-06,0.019135211579476834,0.037864487457608315,0.42039887579822094,0.059285267037403694,0.0095217282628110751,0.045569732890882647,8.9328652293201315e-05,5.9333089973139578e-06,0.00018715090452093929,1.7087280159191763e-07,0.00059494430701539285,0.00083591553505287875,1.8500149663401866e-06,0.019067793984059729,0.00014301359626036497,0.0032289803709736179,3.5063737795745952e-05,0.16819838226234279,1.4976731522651023e-06,3.4689874510705529e-05,1.1090837933005977e-10,0.00088701024520508175,8.4799537598129649e-08,3.7278955027144702e-09,9.1215581180487389e-05
'D',0.37210632692259898,0.99999928652797265,0.99999864857927667,0.99531190441943929,0.99999999999183053,0.99999999894730496,1.7874329591418852e-21,1.0,6.4396133397327253e-29,0.99995766949359555,1.7536625277150711e-11,2.4064354367715125e-06,0.019266342605245654,0.037720203058461341,0.42092577347382309,0.05994163231002464,0.0096535212897539985,0.045218418826240517,9.0472849732824953e-05,5.8503456991657495e-06,0.00018537692174915756,1.6795453328695366e-07,0.0005890329949097701,0.00084308190612192985,1.8264571891162335e-06,0.018960580888234466,0.00014457916347041571,0.0031906441972362446,3.5482325737028107e-05,0.16994963998195212,1.4803983035709332e-06,3.4282194890049175e-05,1.0878371112080925e-10,0.00087780932136803343,8.35478271416711e-08,3.6893766706567092e-09,8.9799926161353785e-05
